Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Карпенко,Станіслав,Тарасович,male,1941-11-03,Сценарист,селище Дубровиця,"проспект Китобійний 1-й, буд. 1, Перевальськ, 93878",098 843-69-51,marko35@example.org
Василевич,Марко,Геннадійович,male,2004-08-04,Фармацевт,селище Тиврів,"шосе Пассіонарії, буд. 0, Дубно, 02954",098 108-43-95,marianazakusylo@example.com
Акуленко,Пантелеймон,Леонідович,male,1987-10-18,Співак,селище Березань,"вулиця Василя Кандинського 2-й, буд. 51, Балаклія, 08952",621 68 28,schumachenko@example.net
Титаренко,Геннадій,Леонідович,male,1953-06-28,Дерун,хутір Ізяслав,"парк Виноградна 1-ша, буд. 5, Черкаси, 75759",+380 74 497 81 63,nriaboshapka@example.com
Царенко,Ліза,Василівна,female,1946-05-30,Нотаріус,місто Кривий Ріг,"шосе Бориса Нечерди, буд. 23 кв. 394, Лисичанськ, 79961",+380 64 349-32-71,mykhailo87@example.org
Затула,Анастасія,Петрівна,female,1952-06-27,Електротехнік,село Міусинськ,"площа Рожева, буд. 51 кв. 3, Золочів, 37648",+380 (20) 678-02-71,shapovalhanna@example.com
Алексюк,Валентин,Артемович,male,1953-05-21,Кіноактор,хутір Калуш,"площа Шполянська, буд. 7, Вовчанськ, 30676",+380 19 780-44-32,alevtynlupii@example.net
Єременко,Франц,Сергійович,male,1946-03-10,Єгер,хутір Чугуїв,"шосе Ждахи, буд. 475 кв. 267, Рубіжне, 14999",704 57 26,tymofiizinchenko@example.org
Яременко,Богуслава,Сергіївна,female,1990-01-24,Електрослюсар,село Кілія,"парк Володимира Терещенка, буд. 3 кв. 0, Шахтарське, 06370",067 150 85 16,dmazur@example.net
Пилипенко,Наталія,Ярославівна,female,1982-10-21,Стропальник,селище Татарбунари,"шосе Таїрова, буд. 61 кв. 47, Шахтарськ, 38857",+380 (74) 807-67-35,ihorhaidai@example.org
Вдовенко,Гаврило,Євгенович,male,1991-04-17,Кінокритик,селище Скадовськ,"провулок Сімферопольська, буд. 2, Часів Яр, 10376",+380 90 167 66 29,arsenzaika@example.org
Верховинець,Алевтин,Дмитрович,male,1941-09-03,Дерун,місто Хорол,"шосе Військово-морських сил, буд. 4 кв. 336, Кам'янка-Дніпровська, 01467",688 84 78,vasylstets@example.org
Бебешко,Яків,Ульянович,male,1971-03-05,Гірничий інженер,місто Олександрівськ,"провулок Ракетна, буд. 828 кв. 229, Кам'янка-Дніпровська, 55580",+380 (40) 949-60-69,sirchenkoartem@example.net
Атаманчук,Едита,Зіновіївна,female,1975-09-27,Правник,місто Острог,"проспект Панаса Саксаганського, буд. 690 кв. 905, Березівка, 02456",015 84 25,haidaiviacheslav@example.org
Чумак,Людмила,Тарасівна,female,1993-10-02,Хімік,хутір Біла Церква,"парк Побратимів, буд. 7 кв. 155, Кам'янка (Черкаська область), 79370",+380 73 347-38-74,sahalruslan@example.net
Гузенко,Ярослав,Васильович,male,1942-10-04,Стоматолог,село Бібрка,"шосе Проценка, буд. 686 кв. 10, Семенівка, 21173",099 288 92 14,rdavydenko@example.org
Ткач,Максим,Артемович,male,2008-10-23,Музикант,село Черкаси,"площа Баркасний, буд. 7, Чуднів, 69007",630 36 74,zakhar81@example.org
Давиденко,Альберт,Борисович,male,1987-08-13,Палеонтолог,село Ялта,"площа Соборна, буд. 50, Марганець, 60660",002 821 35 65,ieva38@example.com
Іщак,Амалія,Миколаївна,female,1941-12-04,Намотувальник,селище Шептицький,"проспект 5-та Лінія Марії Демченко, буд. 74, Овруч, 73235",175 92 93,hryhorii47@example.com
Палій,Ада,Ульянівна,female,1993-04-03,Агроном,місто Оріхів,"парк Єфімова, буд. 4 кв. 8, Мостиська, 80235",+380 (59) 474-33-27,petro29@example.net
Шевченко,Святослава,Федорівна,female,2004-03-17,Педагог,село Нова Каховка,"вулиця Літній, буд. 7 кв. 13, Прип'ять, 15227",001 681-13-00,valentyndrobiazko@example.com
Засуха,Спас,Зіновійович,male,1943-10-07,Кур'єр,місто Луганськ,"вулиця Перепечка, буд. 3 кв. 8, Чорноморськ, 93815",299-92-71,lsamoilenko@example.org
Чуйко,Лілія,Євгенівна,female,1994-08-12,Ді-джей,селище Вільногірськ,"набережна Торгова, буд. 4 кв. 978, Буринь, 64056",+380 46 434-93-86,sviatoslav32@example.net
Матяш,Ігор,Федорович,male,1954-07-24,Зоолог,селище Кам'янське,"парк Озерна, буд. 06, Бершадь, 66994",+380 01 089-02-91,cshyian@example.com
Давиденко,Роман,Сергійович,male,1978-04-15,Хімік,хутір Старокостянтинів,"парк Ждахи, буд. 56, Чигирин, 26259",+380 94 399-65-69,bohodar49@example.com
Непорожній,Пилип,Олександрович,male,1996-02-17,Бухгалтер,селище Косів,"набережна Лінія 26-та, буд. 045, Дубно, 48419",+380 57 419-32-43,cvdovenko@example.net
Єресько,Арсен,Володимирович,male,1978-08-14,Перекладач,село Кам'янське,"провулок Юрія Коваленка, буд. 817, Бердичів, 69922",+380 20 571-75-52,ilupii@example.org
Скорик,Віктор,Борисович,male,2007-11-30,Музичний редактор,село Алчевськ,"проспект Горбатий міст, буд. 89, Богодухів, 54105",+380 03 842-95-21,dzhunvioletta@example.net
Дутка,Христина,Анатоліївна,female,1985-10-10,Реставратор,місто Острог,"узвіз Лінія 48-ма, буд. 6, Трускавець, 59814",045 368-43-26,tesliastepan@example.com
Матяш,Богдан,Сергійович,male,1964-12-27,Кінокритик,хутір Старий Самбір,"парк Павла Шклярука, буд. 2, Шумськ, 19068",919-58-36,velychkoiaroslava@example.net
Забара,Георгій,Артемович,male,1960-02-26,Головний меркшейдер,селище Гнівань,"провулок Острозька, буд. 3, Ужгород, 70670",+380 50 435-83-65,okhrim52@example.net
Яценко,Аліна,Петрівна,female,1956-11-27,Програміст,селище Канів,"проспект Металістів, буд. 595, Луцьк, 89499",+380 43 545-45-89,dereviankosolomiia@example.org
Гаврюшенко,Людмила,Миколаївна,female,1963-03-26,Біолог,село Тлумач,"сквер Пiвденний, буд. 6 кв. 90, Люботин, 11834",+380 (18) 685-70-67,riabovilhavrylo@example.org
Бабʼяк,Світлана,Дмитрівна,female,1989-04-13,Конструктор,місто Олександрівськ,"шосе Вапняна, буд. 237 кв. 3, Гайсин, 89562",+380 61 269-93-99,boleslavriabovil@example.org
Ванченко,Богданна,Євгенівна,female,1959-01-15,Музикознавець,селище Зборів,"площа Лиманчик 2-й Лінія 11-та, буд. 8 кв. 696, Жидачів, 11461",+380 (67) 273-00-44,tsarenkoanton@example.net
Барабаш,Аніта,Леонідівна,female,1950-11-13,Льотчик,село Старобільськ,"сквер Галини Могильницької, буд. 445 кв. 6, Нетішин, 72706",+380 78 838 87 04,panas84@example.org
Дацюк,Григорій,Євгенович,male,2009-04-21,Електротехнік,селище Ланівці,"провулок Прирейкова, буд. 128 кв. 019, Павлоград, 89953",+380 99 137 91 62,irena24@example.org
Височан,Аліна,Петрівна,female,1944-07-05,Геолог,селище Чуднів,"набережна Дерибасівська, буд. 064 кв. 03, Перемишляни, 72055",+380 16 183-92-30,iaroslavzaporozhets@example.net
Габелко,Антон,Артемович,male,1969-10-15,Швачка,місто Ясинувата,"проспект Юннатів 3-й, буд. 86 кв. 445, Гола Пристань, 29696",+380 25 108 52 30,spas44@example.com
Гунько,Захар,Ігоревич,male,1994-07-01,Режисер,місто Кременчук,"провулок Хортицька, буд. 45, Федорівка, 16461",+380 65 979-29-28,prokhirkalchenko@example.net
Бабариченко,Гліб,Тарасович,male,1939-05-06,Промисловець,хутір Чугуїв,"проспект Фестивальний, буд. 03 кв. 746, Кременчук, 39986",808-83-42,kharchenkoiryna@example.org
